dataset,subject,session,LI_mu_early_T1,LI_mu_mid_T1,LI_mu_late_T1,ΔLI_mu_T1,LI_beta_early_T1,LI_beta_mid_T1,LI_beta_late_T1,ΔLI_beta_T1,mu_ERD_slope_contra_T1,mu_ERD_slope_bilateral_T1,mu_ERD_selectivity_T1,beta_ERD_slope_contra_T1,beta_ERD_slope_bilateral_T1,beta_ERD_selectivity_T1,LI_mu_early_T2,LI_mu_mid_T2,LI_mu_late_T2,ΔLI_mu_T2,LI_beta_early_T2,LI_beta_mid_T2,LI_beta_late_T2,ΔLI_beta_T2,mu_ERD_slope_contra_T2,mu_ERD_slope_bilateral_T2,mu_ERD_selectivity_T2,beta_ERD_slope_contra_T2,beta_ERD_slope_bilateral_T2,beta_ERD_selectivity_T2,μ_responder,β_responder
BNCI2014_004,1,0train,0.40855811173107937,0.6079007670031862,0.8822676964677149,0.4737095847366355,-0.14069843752988964,-0.8925586468490698,-0.672595840624252,-0.5318974030943624,-0.02265605415197136,-0.3253711022824638,0.30271504813049244,-0.12759772334295988,0.15678170842074257,-0.28437943176370245,0.2588356867864095,0.24467134511028363,0.48460264761942623,0.22576696083301673,-0.9852347595864404,-0.14332119758751408,-0.042941509738706946,0.9422932498477334,0.36804765120044247,0.16967014416644965,0.19837750703399282,0.5698947568346915,0.28999364425047686,0.27990111258421463,True,True
BNCI2014_004,1,1train,0.4351634387548928,0.2705692795027314,0.5256814428512949,0.09051800409640215,0.09418814639180723,-0.17726462716779723,-0.8815572543259411,-0.9757454007177484,-1.416212156500317,-1.0457491065711308,-0.3704630499291861,-0.4638031653252909,-0.24173264839135195,-0.22207051693393898,0.7750166835974851,0.1667322756459842,-0.30047132905604007,-1.0754880126535251,0.380269184622819,-0.37536721080152763,0.411046384623435,0.030777200000616012,-0.053341596436609066,0.2943901993973874,-0.3477317958339965,-0.5036683791833274,-0.36782874419201894,-0.13583963499130847,True,True
BNCI2014_004,1,2train,0.6270854528828709,0.17673510285335878,0.2526681629046224,-0.37441728997824847,0.20331651384992602,0.266802911123299,-0.41549187935944076,-0.6188083932093668,-0.3781259556088935,-0.16705538218583776,-0.21107057342305574,-0.2547648640294323,-0.028626151362898918,-0.2261387126665334,0.10691896868435183,0.24232793069224356,0.5382187641693863,0.4312997954850345,0.10597815825277716,-0.1114541530825902,-0.20632961639540762,-0.31230777464818477,-0.2660130057900769,-0.39680517192803144,0.13079216613795452,-0.45755499314774184,-0.37839696427801617,-0.07915802886972567,True,False
BNCI2014_004,1,3test,0.09110934287377438,0.9880059146354564,0.4001206871260652,0.3090113442522908,0.4098934553434167,0.8080318345878917,0.06943933992407071,-0.340454115419346,-0.17369326699863497,-0.26966375203281456,0.0959704850341796,0.12911083230329418,0.15196134913878934,-0.02285051683549516,0.29638361708480637,0.5903175254290187,0.6992966010087764,0.40291298392397007,-0.9878949195091661,-0.7098075681383617,0.9011097824567722,1.8890047019659382,-0.23737888820294717,-0.2722204949751331,0.03484160677218595,0.6549087233417403,0.27848803146520973,0.3764206918765306,True,True
BNCI2014_004,1,4test,-0.22452016968555175,0.401907431589428,0.8942630463526174,1.1187832160381692,-0.8316723340357349,-0.7739138025800314,0.6129117604756962,1.444584094511431,0.4947657884815541,0.09744686523008382,0.3973189232514703,0.08712919775995447,-0.24835653119669276,0.33548572895664724,0.13716498880676178,-0.18279472974812766,0.8406173967145495,0.7034524079077877,0.24380390949204142,-0.2143642018836118,-0.09387047423686076,-0.3376743837289022,0.20572092318435642,-0.03476194210931827,0.24048286529367469,0.027420346834665515,0.09320893258473978,-0.06578858575007426,True,True
BNCI2014_004,2,0train,-0.33363757849317277,-0.16032376694213005,0.1874134360726194,0.5210510145657922,0.9951199268108198,-0.349711545647393,0.6145851305214662,-0.3805347962893536,0.47244277330332096,0.1721503065657184,0.30029246673760257,-0.452939480787732,-0.20063609041303831,-0.2523033903746937,0.34782422586673223,0.7294874814486252,0.4409529381657457,0.09312871229901348,0.18264092108354218,0.6579329137739951,-0.7071334943206704,-0.8897744154042126,0.40476549581915866,0.2278875845409989,0.17687791127815977,-0.3842817208073558,-0.03263413925302938,-0.3516475815543264,True,False
BNCI2014_004,2,1train,-0.15596269111128078,0.551362604239879,-0.5483562335374011,-0.39239354242612035,-0.037221167865410895,-0.3998409562166385,-0.3574789046907786,-0.3202577368253677,-0.3200830821328056,-0.19362397542428944,-0.12645910670851618,-0.09528761393029755,-0.004026602687466463,-0.09126101124283109,0.5738280692385656,0.4675381041573771,-0.047599320122896804,-0.6214273893614624,-0.2945512866871032,-0.17758017928883862,-0.11922063206059232,0.17533065462651087,-1.2433354758398505,-0.7217647626826904,-0.5215707131571601,0.19362254689357025,0.11611418008534158,0.07750836680822867,False,True
BNCI2014_004,2,2train,0.23246032464005656,0.3791624732060994,-0.8768057350011235,-1.10926605964118,0.9200259609874856,-0.3598096316060877,0.4295240449818279,-0.4905019160056577,-0.8065826560735954,-0.49812593554618145,-0.3084567205274139,0.04019205625034444,0.06760536832689693,-0.027413312076552482,-0.3461816529088514,-0.6114447751549932,0.2957845333197424,0.6419661862285938,-0.004338543252266933,-0.5577369407286472,-0.4557990458815921,-0.45146050262932513,0.05716770992427145,-0.12585307130510476,0.1830207812293762,-0.05750878001028653,0.19882802874268762,-0.25633680875297415,True,False
BNCI2014_004,2,3test,0.32252450043264025,-0.5018644855362193,0.20999797553874608,-0.11252652489389417,-0.9874429531661271,0.8551642462249781,0.061225640647357624,1.0486685938134848,0.30117499740377207,0.295858819077087,0.005316178326685073,0.05363591840394176,0.021157628715585526,0.032478289688356234,-0.8257013850048448,-0.4970888365587046,-0.26091615530687756,0.5647852296979672,0.051681956075710224,-0.10648666751751844,-0.09164412502944344,-0.14332608110515366,0.6340272138074898,0.44683569836279724,0.1871915154446926,0.26543370209381867,0.34114669940226927,-0.0757129973084506,True,True
BNCI2014_004,2,4test,0.7593334119222268,0.5267248730034247,-0.5445536123718627,-1.3038870242940894,-0.23131663378086723,-0.45001028298182844,-0.2285829401541428,0.0027336936267244316,-0.031107337165721363,0.2718698118816511,-0.30297714904737244,-0.11715803232784161,-0.1534729653037215,0.0363149329758799,-0.37854773155028953,0.06211114565374564,0.03848748260831137,0.4170352141586009,0.41475582731513344,0.4251789857216525,-0.22866041004568197,-0.6434162373608154,0.0017440093645517685,-0.12070215655010136,0.12244616591465313,-0.28088312686083666,-0.08872598087119787,-0.1921571459896388,True,True
