dataset,subject,session,LI_mu_early_T1,LI_mu_mid_T1,LI_mu_late_T1,ΔLI_mu_T1,LI_beta_early_T1,LI_beta_mid_T1,LI_beta_late_T1,ΔLI_beta_T1,mu_ERD_slope_contra_T1,mu_ERD_slope_bilateral_T1,mu_ERD_selectivity_T1,beta_ERD_slope_contra_T1,beta_ERD_slope_bilateral_T1,beta_ERD_selectivity_T1,LI_mu_early_T2,LI_mu_mid_T2,LI_mu_late_T2,ΔLI_mu_T2,LI_beta_early_T2,LI_beta_mid_T2,LI_beta_late_T2,ΔLI_beta_T2,mu_ERD_slope_contra_T2,mu_ERD_slope_bilateral_T2,mu_ERD_selectivity_T2,beta_ERD_slope_contra_T2,beta_ERD_slope_bilateral_T2,beta_ERD_selectivity_T2,μ_responder,β_responder
Lee2019_MI,1,1,-0.54099104304756,0.06020315414346446,-0.4543804067564561,0.08661063629110388,0.23472559089394351,-0.21995683013923992,0.18238748696397217,-0.05233810392997135,-0.20685654074072732,-0.4686200177846903,0.26176347704396297,1.4151709733094437,1.1988423140110918,0.216328659298352,0.021577707044204458,-0.5749647022749597,-0.3482323901565869,-0.3698100972007914,-0.8988063961616458,-0.5418451421574011,-0.791788102142064,0.10701829401958185,-0.9335590738838346,-0.6494874303001077,-0.28407164358372694,0.04791810571471694,0.02658884440361653,0.02132926131110041,True,True
Lee2019_MI,2,1,0.07432285569352119,0.33236760463470927,-0.46823611672065174,-0.542558972414173,0.08087727463763288,0.4192953498353117,0.06259267948188142,-0.018284595155751454,-0.3104473619864135,-0.04816617630410458,-0.2622811856823089,-0.33567828347373163,-0.3088333851916811,-0.026844898282050556,0.5290035009502118,0.7536284029595293,-0.5261094810941103,-1.0551129820443221,-0.22356836622769585,-0.31484117416809393,-0.3695391912336194,-0.14597082500592354,-0.3264649611939351,-0.12405542596957984,-0.20240953522435523,-0.5612241609126455,-0.6849644172165661,0.1237402563039206,False,False
Lee2019_MI,3,1,0.36940634443983617,0.08751018899770334,-0.09252361062969998,-0.46192995506953616,-0.9271816169605017,-0.20371178929572145,-0.1668868674915195,0.7602947494689822,-0.4187919299457984,-0.09273292148849577,-0.3260590084573026,0.29687644629638765,0.19217610537272256,0.10470034092366509,0.177818308499631,0.1549380825681788,0.3784491065178938,0.2006307980182628,0.10421718487489376,0.3933880100946488,-0.21301083575436658,-0.31722802062926037,-0.0654675910674628,-0.1653533157245588,0.099885724657096,-0.6152902592340038,-0.4735368156772058,-0.14175344355679803,True,True
Lee2019_MI,4,1,-0.12713599927424912,0.1823841291309711,0.33497015572251887,0.462106154996768,0.09977908869566132,0.35995460077593344,-0.39488431686995923,-0.49466340556562055,0.6489960872039258,0.25200288591268594,0.39699320129123983,-0.8974747998046619,-0.6592230042049807,-0.23825179559968124,-0.13576915559352212,-0.04579224761019676,-0.0746922599480093,0.061076895645512816,-0.019051509120860195,-0.03299583859937976,0.06384593493264401,0.0828974440535042,1.7110064034161934,1.8153367586283449,-0.1043303552121515,-0.7738300728822557,-0.8331110848807471,0.05928101199849145,True,True
Lee2019_MI,5,1,0.9436327840117517,0.38798585688868664,0.13332403405244425,-0.8103087499593074,0.5873302505580701,0.3517627881181401,0.8284988504227198,0.24116859986464967,-0.41737358876308434,0.07077908537975186,-0.4881526741428362,0.4682727490066999,0.2192442260619034,0.2490285229447965,0.16449543314806048,0.013368537236737435,-0.6230160143874552,-0.7875114475355157,-0.28798591651290006,-0.4472495596930488,-0.24504174604330764,0.042944170469592424,-0.9977668598751019,-0.7061983602333012,-0.29156849964180076,-0.2117288541954264,-0.30075768642258466,0.08902883222715827,False,True
Lee2019_MI,6,1,0.1497899424246266,-0.22982473749410087,-0.6367606633676522,-0.7865506057922789,-0.3717496805567607,0.2009912149429704,0.1405236539256113,0.512273334482372,-0.5068067520210033,-0.37759543391551215,-0.1292113181054912,0.37711526650277555,0.09732240914514999,0.27979285735762555,0.9486670711661342,-0.9741072588322166,-0.578551955894826,-1.5272190270609602,0.2714438773365612,0.7733803330542617,-0.29015474015803583,-0.561598617494597,-0.48797057490273543,-0.025229180414139293,-0.46274139448859614,-0.1439792273371413,0.0992023100619167,-0.243181537399058,False,True
Lee2019_MI,7,1,-0.16020188236687874,-0.6856656876429577,-0.04835369034041863,0.11184819202646011,-0.06251531532335905,-0.9895490120634562,-0.21258951877724777,-0.15007420345388872,0.25961249305078427,0.23315635623030895,0.026456136820475318,0.31040860493335454,0.43829626340602623,-0.1278876584726717,-0.08153723136381144,-0.32042882480802204,-0.4019389635684028,-0.32040173220459134,-0.27525309196786363,-0.9684326809870687,0.1139627900673919,0.38921588203525553,-0.4214710446018612,-0.27081854940991146,-0.15065249519194973,0.1399623862368522,-0.2015613965537066,0.34152378279055884,True,True
Lee2019_MI,8,1,-0.9226275617709999,-0.24108689408661968,0.01970552809872201,0.942333089869722,-0.4907587461551957,-0.5093765566273145,0.22368786455783107,0.7144466107130267,0.6155954664861633,0.25355001876255534,0.3620454477236079,0.47221013681166946,-0.08855463490911797,0.5607647717207874,0.2003425137890698,0.012093736488289928,0.8588418382064102,0.6584993244173405,-0.4068123886732536,-0.0601084685563067,-0.33906440871524157,0.06774797995801202,-0.6505341521321084,-0.6637175531155753,0.01318340098346693,0.2364198022362332,0.3344778112223828,-0.09805800898614958,True,True
Lee2019_MI,9,1,-0.6137768520369807,-0.6271275328149287,-0.9138428203904315,-0.3000659683534508,-0.5531730102435161,-0.6543251497318969,-0.6634935705255276,-0.11032056028201154,-0.09975860585021575,0.27397987184074024,-0.373738477690956,0.055732331976248675,0.18242151210913393,-0.12668918013288527,0.43592657567450316,0.289694338073258,0.5691307606344527,0.1332041849599495,0.07809170331312897,0.41598114688874044,-0.25123505362772003,-0.329326756940849,-0.4577768932425321,-0.32343239185408346,-0.13434450138844867,-0.09854487919627766,-0.04181563494835766,-0.05672924424792,True,False
Lee2019_MI,10,1,-0.28714431443149213,-0.5776352855115106,-0.33995329001825725,-0.05280897558676512,-0.18436946093682954,0.3082864893399901,-0.0812573949729679,0.10311206596386165,0.33076527296116176,0.5191446596711032,-0.18837938670994148,0.14476510241145701,0.08006153789515325,0.06470356451630377,-0.19403335682827333,0.14052915107195751,-0.09719723202841354,0.09683612479985979,0.0402069308534413,0.5490436508033384,-0.27359771781938946,-0.31380464867283075,-0.2642720029978818,-0.4283546895045646,0.16408268650668284,-0.7282228790305527,-0.5338706409060827,-0.19435223812447,True,True
